orig_address,orig_city,orig_state,orig_country,subpremise,street_number,route,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,lat,lng,partial_match
 40 Maplewood Avenue,Pittsfield,MA,1201,"",40,Maplewood Avenue,Pittsfield,Berkshire County,Massachusetts,United States,01201,42.454528,-73.249996,true
 761 Mount Auburn Street,Watertown,MA,2472,"",761,Mount Auburn Street,Watertown,Middlesex County,Massachusetts,United States,02472,42.3734903,-71.1525505,true
 1145 Mass Avenue,Arlington,MA,2476,"",1145,Massachusetts Avenue,Arlington,Middlesex County,Massachusetts,United States,02476,42.4227676,-71.1734608,true
 695 Corliss Avenue,Phillipsburg,NJ,8865,"",695,Corliss Avenue,Phillipsburg,Warren County,New Jersey,United States,08865,40.699412,-75.179298,true
 42 Church,Bloomsbury,NJ,8804,"",42,Church Street,Bloomsbury,Hunterdon County,New Jersey,United States,08804,40.654803,-75.08750599999999,true
 10 E Deer Park Dr,Gaithersburg,MD,20877,"",10,East Deer Park Drive,Gaithersburg,Montgomery County,Maryland,United States,20877,39.1322131,-77.1884068,false
 576 Hancock St.,Quincy,MA,2170,"",576,Hancock Street,Quincy,Norfolk County,Massachusetts,United States,02170,42.2698788,-71.01939340000001,true
 17 Third Street,North Andover,MA,1845,"",17,3rd Street,North Andover,Essex County,Massachusetts,United States,01845,42.69968189999999,-71.13012189999999,true
 28 Florence Street,Andover,MA,1810,"",28,Florence Street,Andover,Essex County,Massachusetts,United States,01810,42.6576603,-71.13788939999999,true
 4212 Highway 5 North,Bryant,AR,72022,"",4212,Highway 5,Bryant,Saline County,Arkansas,United States,72022,34.6182209,-92.5099359,true
 535 18th Avenue,Honolulu,HI,96826,"",535,18th Avenue,Honolulu,Honolulu County,Hawaii,United States,96816,21.2686691,-157.7982124,true
 213 West Main,Kasson,MN,55944,"",213,West Main Street,Kasson,Dodge County,Minnesota,United States,55944,44.02976,-92.75143399999999,true
 3690 NC 111 North,Tarboro,NC,27886,"",3690,NC 111 North,Tarboro,Edgecombe County,North Carolina,United States,27886,35.8816784,-77.4646806,false
 110 W. Second Street,Vanceburg,KY,41179,"",110,2nd Street,Vanceburg,Lewis County,Kentucky,United States,41179,38.6040876,-83.3197374,true
 99 Public Square,Batesville,MS,38606,"",99,Public Square,Batesville,Panola County,Mississippi,United States,38606,34.316494,-89.95110799999999,false
 209 E College Street,Dickson,TN,37055,"",209,East College Street,Dickson,Dickson County,Tennessee,United States,37055,36.0754682,-87.3857965,false
 1750 Fairview Boulevard,Fairview,TN,37062,"",1750,Fairview Boulevard,Fairview,Williamson County,Tennessee,United States,37062,35.989799,-87.099179,false
 317 Main Street,White Bluff,TN,37187,"",317,Main Street,White Bluff,Dickson County,Tennessee,United States,37187,36.106228,-87.220961,false
 161 West Church Street,Seymour,CT,6483,"",161,West Church Street,Seymour,New Haven County,Connecticut,United States,06483,41.391555,-73.0801184,true
 650 High Street,Huntingdon,TN,38344,"",650,High Street,Huntingdon,Carroll County,Tennessee,United States,38344,36.0238919,-88.407246,false
 137 Front St.,Eudora,AR,71640,"",137,Front Street,Eudora,Chicot County,Arkansas,United States,71640,33.1104715,-91.2595491,false
 210 North Trotter Street,Dermott,AR,71638,"",210,North Trotter Street,Dermott,Chicot County,Arkansas,United States,71638,33.5286648,-91.4369238,false
 206 US Highway 231 North,Troy,AL,36079,"",206,U.S. 231,Troy,Pike County,Alabama,United States,36079,31.8101631,-85.9915992,true
 6549 US Highway 231,Brundidge,AL,36010,"",6549,U.S. 231,Brundidge,Pike County,Alabama,United States,36010,31.7333347,-85.8412129,true
 2001 Hwy 367 N,Newport,AR,72112,"",2001,Highway 367,Newport,Jackson County,Arkansas,United States,72112,35.6238599,-91.2525331,true
 305 Alfred Plourde Parkway,Lewiston,ME,4240,"",305,Alfred A Plourde Parkway,Lewiston,Androscoggin County,Maine,United States,04240,44.080877,-70.178743,true
 1276 Berlin Turnpike,Wethersfield,CT,6109,"",1276,Berlin Turnpike,Wethersfield,Hartford County,Connecticut,United States,06109,41.7220567,-72.69311619999999,true
 1711 Court Street,Vicksburg,MS,39180,"",1711,Court Street,Vicksburg,Warren County,Mississippi,United States,39180,32.344504,-90.8736797,false
 124 Chestnut Street,Holyoke,MA,1040,"",124,Chestnut Street,Holyoke,Hampden County,Massachusetts,United States,01040,42.20751,-72.609456,true
 105 5th Street,Leland,MS,38756,"",105,5th Street,Leland,Washington County,Mississippi,United States,38756,33.406992,-90.896807,false
 209 Hanna Avenue,Indianola,MS,38751,"",209,Hanna Avenue,Indianola,Sunflower County,Mississippi,United States,38751,33.4493748,-90.6474471,false
 1200 North Cleveland,Sand Springs,OK,74063,"",1200,North Cleveland Avenue,Sand Springs,Tulsa County,Oklahoma,United States,74063,36.153928,-96.1143403,true
 108 Oakhaven,Maple Lake,MN,55358,"","","",Maple Lake,Wright County,Minnesota,United States,55358,45.2299207,-94.0038756,true
 85 N. Main St,Kimball,MN,55353,"",85,Main Street North,Kimball,Stearns County,Minnesota,United States,55353,45.3141063,-94.30042689999999,true
 272 E. Park,Annandale,MN,55302,"",272,Park Street East,Annandale,Wright County,Minnesota,United States,55302,45.2657057,-94.11960909999999,true
 1545 N McMillan,Worthington,MN,56187,"",1545,North McMillan Street,Worthington,Nobles County,Minnesota,United States,56187,43.6333044,-95.6029507,true
 610 4th Ave,Wilmont,MN,56185,"",610,4th Avenue,Wilmont,Nobles County,Minnesota,United States,56185,43.7621482,-95.8275347,false
 300 N. Kniss Ave.,Luverne,MN,56156,"",300,North Kniss Avenue,Luverne,Rock County,Minnesota,United States,56156,43.656766,-96.21224749999999,false
 109 E 7th St,Adrian,MN,56110,"",109,7th Street East,Adrian,Nobles County,Minnesota,United States,56110,43.6287563,-95.9330806,true
 17 Pearl Street,Mystic,CT,6355,"",17,Pearl Street,Groton,New London County,Connecticut,United States,06340,41.3564859,-71.97081899999999,true
 182 Waldo Avenue,Belfast,ME,4915,"",182,Waldo Avenue,Belfast,Waldo County,Maine,United States,04915,44.4363266,-69.0246712,true
 257 Broadway,Passaic,NJ,7055,"",257,Broadway,Passaic,Passaic County,New Jersey,United States,07055,40.8564737,-74.13448199999999,true
 640 Dogwood Ave,Bird Island,MN,55310,"",640,Dogwood Avenue,Bird Island,Renville County,Minnesota,United States,55310,44.7633774,-94.89405269999999,false
 229 2nd Avenue,Sacred Heart,MN,56284,"",229,2nd Street Northeast,Renville,Renville County,Minnesota,United States,56284,44.79058860000001,-95.21049359999999,true
 427 Main Street S,Renville,MN,56284,"",427,Main Street South,Renville,Renville County,Minnesota,United States,56284,44.7864965,-95.21201529999999,false
 104 S. 6th Street,Olivia,MN,56277,"",104,South 6th Street,Olivia,Renville County,Minnesota,United States,56277,44.7762791,-94.9844047,false
 909 Central Avenue,Horton,KS,66439,"",909,Central Avenue,Horton,Brown County,Kansas,United States,66439,39.6613472,-95.52761439999999,false
 811 Wiggington Road,Lynchburg,VA,24502,"",811,Wiggington Road,Lynchburg,"",Virginia,United States,24502,37.41485369999999,-79.2346862,false
 21914 TimberlakeRoad,Lynchburg,VA,24502,"",21914,Timberlake Road,Lynchburg,Campbell County,Virginia,United States,24502,37.3242081,-79.2516362,true
 2812 5th Street,Muskegon,MI,49444,"",2812,5th Street,Muskegon,Muskegon County,Michigan,United States,49444,43.2008875,-86.2484554,false
 112 Madison Street,Grand Junction,TN,38039,"",112,Madison Avenue East,Grand Junction,Hardeman County,Tennessee,United States,38039,35.0481546,-89.1854376,true
 750 Bills Street,Bolivar,TN,38008,"",750,Bills Street,Bolivar,Hardeman County,Tennessee,United States,38008,35.2538561,-88.99746900000001,false
 234 W Dixie Ave,Elizabethtown,KY,42701,"",234,West Dixie Avenue,Elizabethtown,Hardin County,Kentucky,United States,42701,37.6948154,-85.86181549999999,false
 739 N. Main St.,Shelbyville,TN,37160,"",739,North Main Street,Shelbyville,Bedford County,Tennessee,United States,37160,35.4917121,-86.45925919999999,false
 790 National Road West,Richmond,IN,47375,"",790,National Road West,Richmond,Wayne County,Indiana,United States,47374,39.826928,-84.9124719,true
 260 Main St.,West Harwich,MA,2671,"",260,Main Street,Harwich,Barnstable County,Massachusetts,United States,02671,41.670065,-70.0993948,true
 729 Route 134,South Dennis,MA,2660,"",729,Route 134,Dennis,Barnstable County,Massachusetts,United States,02660,41.70618,-70.154781,true
 106 S. Fort Thomas Avenue,Fort Thomas,KY,41075,"",106,South Fort Thomas Avenue,Fort Thomas,Campbell County,Kentucky,United States,41075,39.07767279999999,-84.44728429999999,false
 241 Fairfield Ave.,Bellevue,KY,41073,"",241,Fairfield Avenue,Bellevue,Campbell County,Kentucky,United States,41073,39.105784,-84.484414,false
 503 Fourth Street Southeast,Barnesville,MN,56514,"",503,4th Street Southeast,Barnesville,Clay County,Minnesota,United States,56514,46.6488768,-96.41624809999999,false
 899 Highway 15 South,Hutchinson,MN,55350,"",899,Highway 15,Hutchinson,McLeod County,Minnesota,United States,55350,44.8799048,-94.3732122,false
 1382 N. Main Street,Raeford,NC,28376,"",1382,North Main Street,Raeford,Hoke County,North Carolina,United States,28376,34.9961304,-79.2226597,false
 350 W. Maple,Fayetteville,WV,25840,"",350,West Maple Avenue,Fayetteville,Fayette County,West Virginia,United States,25840,38.0486543,-81.1091904,true
 155 McGraw,Webster Springs,WV,26288,"","",McGraw Avenue,Webster Springs,Webster County,West Virginia,United States,26288,38.4768138,-80.4124947,true
 901 Garland Street,Flint,MI,48503,"",901,Garland Street,Flint,Genesee County,Michigan,United States,48503,43.0232662,-83.6989652,false
 3200 Limestone Rd,Wilmington,DE,19808,"",3200,Limestone Road,Wilmington,New Castle County,Delaware,United States,19808,39.7329941,-75.6723365,false
 1900 Delaware Avenue,Wilmington,DE,19806,"",1900,Delaware Avenue,Wilmington,New Castle County,Delaware,United States,19806,39.7595511,-75.564702,false
 460 Granite Ave,Milton,MA,2186,"",460,Granite Avenue,Milton,Norfolk County,Massachusetts,United States,02186,42.2561257,-71.03946359999999,true
 106 Middlesex,North Chelmsford,MA,1863,"",106,North Road,Carlisle,Middlesex County,Massachusetts,United States,01741,42.5543635,-71.3511539,true
 76 State St,Gorham,ME,4038,"",76,State Street,Gorham,Cumberland County,Maine,United States,04038,43.6783656,-70.4453523,true
 434 River Rd,Windham,ME,4062,"",434,River Road,Windham,Cumberland County,Maine,United States,04062,43.7485367,-70.4291604,true
 421 N. Walnut Street,"Spalding,",NE,68665,"",421,North Walnut Street,Spalding,Greeley County,Nebraska,United States,68665,41.6917947,-98.36564849999999,true
 100 Grant Street,Fairview,WV,26570,"",100,Grant Street,Mannington,Marion County,West Virginia,United States,26582,39.591492,-80.243141,false
 414 Gaston Avenue,Fairmont,WV,26554,"",414,Gaston Avenue,Fairmont,Marion County,West Virginia,United States,26554,39.4787934,-80.14784480000002,false
 497 2nd Street,Ayden,NC,28513,"",497,SR Second Street,Ayden,Pitt County,North Carolina,United States,28513,35.472375,-77.417225,true
 313 W. 19th Street,Covington,KY,41011,"",313,East 19th Street,Covington,Kenton County,Kentucky,United States,41011,39.0688637,-84.5012477,true
 1502 North Highway 81,Duncan,OK,73533,"",1502,U.S. 81,Duncan,Stephens County,Oklahoma,United States,73533,34.5069843,-97.9672028,true
 465 County St,New Bedford,MA,2740,"",465,County Street,New Bedford,Bristol County,Massachusetts,United States,02740,41.63536,-70.930871,true
 31 E. Main Street,Middletown,MD,21769,"",31,East Main Street,Middletown,Frederick County,Maryland,United States,21769,39.443514,-77.54173999999999,false
 US 50 West,Grafton,WV,26354,"","",Old 50 West,Grafton,Taylor County,West Virginia,United States,26354,39.3466741,-80.0547907,true
 117 West Blue Ridge Road,East Flat Rock,NC,28726,"",117,West Blue Ridge Road,East Flat Rock,Henderson County,North Carolina,United States,28726,35.279122,-82.422254,false
 1876 2nd Avenue,Decatur,GA,30032,"",1876,2nd Avenue,Decatur,DeKalb County,Georgia,United States,30032,33.73706360000001,-84.30902019999999,false
 313 Talbott Ave,Laurel,MD,20707,"",313,Talbott Avenue,Laurel,Prince George's County,Maryland,United States,20707,39.100519,-76.849009,false
 1070 West Main Street,Hillsboro,OR,97123,"",1070,West Main Street,Hillsboro,Washington County,Oregon,United States,97123,45.522562,-123.001933,false
 140 Otis Street,Cambridge,MA,2141,"",140,Otis Street,Cambridge,Middlesex County,Massachusetts,United States,02141,42.370768,-71.084815,true
 3308 East College Way,Mount Vernon,WA,98273,"",3308,East College Way,Mount Vernon,Skagit County,Washington,United States,98273,48.4351323,-122.2979626,false
 556 Westfield Avenue,Westfield,NJ,7090,"",556,Westfield Avenue,Westfield,Union County,New Jersey,United States,07090,40.6458569,-74.34753309999999,true
 218 N. Avenue W.,Cranford,NJ,7016,"",218,Cranford Avenue,Cranford,Union County,New Jersey,United States,07016,40.66241770000001,-74.2960141,true
 14 Old Church Street,Middletown,CT,6457,"",14,Old Church Street,Middletown,Middlesex County,Connecticut,United States,06457,41.5570624,-72.6483143,true
 201 5th NW,Moultrie,GA,31768,"",201,5th Avenue Northwest,Moultrie,Colquitt County,Georgia,United States,31768,31.1848227,-83.791438,true
 701 Pike Street,Shinnston,WV,26431,"",701,Pike Street,Shinnston,Harrison County,West Virginia,United States,26431,39.39711140000001,-80.2979218,false
 4838 Wildwood Rd,Maryville,TN,37804,"",4838,Wildwood Road,Maryville,Blount County,Tennessee,United States,37804,35.8004815,-83.8633557,false
 903 3rd Street,Horseshoe Bend,AR,72512,"",903,3rd Street,Horseshoe Bend,Izard County,Arkansas,United States,72512,36.2167917,-91.75904279999999,false
 595 Norwich Road,Plainfield,CT,6374,"",595,Norwich Road,Plainfield,Windham County,Connecticut,United States,06374,41.679809,-71.915143,true
 2615 First Avenue,Hibbing,MN,55746,"",2615,1st Avenue,Hibbing,St. Louis County,Minnesota,United States,55746,47.419752,-92.942105,false
 600 E Second Street,Duluth,MN,55805,"",600,East 2nd Street,Duluth,St. Louis County,Minnesota,United States,55805,46.7939715,-92.0923414,false
 3117 Main Street,Exmore,VA ,23350,"",3117,Main Street,Exmore,Northampton County,Virginia,United States,23350,37.5360365,-75.8232055,false
 1125 Tusculum Blvd,Greeneville,TN,37744,"",1125,Tusculum Boulevard,Greeneville,Greene County,Tennessee,United States,37745,36.170689,-82.806068,true
 1331 Eastern Blvd N,Hagerstown,MD,21742,"",1331,Eastern Boulevard North,Hagerstown,Washington County,Maryland,United States,21742,39.659667,-77.6963646,false
 214 Main Street,Salem,NH,3079,"",214,Main Street,Salem,Rockingham County,New Hampshire,United States,03079,42.7834867,-71.2146442,true
 157-159 Wyoming,Welch,WV,24801,"",157,Wyoming Street,Welch,McDowell County,West Virginia,United States,24801,37.4334304,-81.5845803,true
 Johns Branch Road,War,WV,24892,"","",John Branch Road,War,McDowell County,West Virginia,United States,24892,37.3088319,-81.67161399999999,true
 25 Sanborn Street,Reading,MA,1867,"",25,Sanborn Street,Reading,Middlesex County,Massachusetts,United States,01867,42.5245263,-71.1045357,true
 51 Worthen Road,Lexington,MA,2421,"",51,Worthen Road,Lexington,Middlesex County,Massachusetts,United States,02421,42.4514567,-71.23583459999999,true
 87 N. Pleasant Street,Amherst,MA,1002,"",87,North Pleasant Street,Amherst,Hampshire County,Massachusetts,United States,01002,42.3770215,-72.5194759,true
 4655 Brownsboro Rd.,Winston-Salem,NC,27106,"",4655,Brownsboro Road,Winston-Salem,Forsyth County,North Carolina,United States,27106,36.148922,-80.276139,false
 420 South State Street,North Vernon,IN,47265,"",420,South State Street,North Vernon,Jennings County,Indiana,United States,47265,39.0009881,-85.623009,false
 6630 S Hwy 85-87,Fountain,CO,80817,"",6630,South U.S. Highway 85-87,Fountain,El Paso County,Colorado,United States,80817,38.73509,-104.7300147,true
 710 US Highway 270,Heavener,OK,74937,"",710,U.S. 270,Heavener,Le Flore County,Oklahoma,United States,74937,34.8874743,-94.603906,false
 270 McAdams Street,Millport,AL,35576,"","",McAdams Street,Millport,Lamar County,Alabama,United States,35576,33.5615121,-88.0799717,true
 201 Commercial Street,Haskell,OK,74436,"",110,E Commercial St,Haskell,Muskogee County,Oklahoma,United States,74436,35.8182407,-95.672541,true
 365 W Main St,Mount Vernon,KY,40456,"",365,West Main Street,Mount Vernon,Rockcastle County,Kentucky,United States,40456,37.3554041,-84.3463644,false
 241 N. Garfield Ave.,Pocatello,ID,83201,"",241,North Garfield Avenue,Pocatello,Bannock County,Idaho,United States,83204,42.86181759999999,-112.4543323,true
 75 East Avenue,Norwalk,CT,6851,"",75,East Avenue,Norwalk,Fairfield County,Connecticut,United States,06851,41.118843,-73.40740090000001,true
 21 Pond Street,Hingham,MA,2043,"",21,Pond Street,Hingham,Plymouth County,Massachusetts,United States,02043,42.2289413,-70.88019609999999,true
 106 Maple Avenue,Morristown,NJ,7960,"",106,Maple Avenue,Morristown,Morris County,New Jersey,United States,07960,40.7912689,-74.47672890000001,true
 2159 Lakeview Avenue,Dracut,MA,1826,"",2159,Lakeview Avenue,Dracut,Middlesex County,Massachusetts,United States,01826,42.6809093,-71.3598627,true
 112 Walnut Street,Cynthiana,KY,41031,"",112,Walnut Street,Cynthiana,Harrison County,Kentucky,United States,41031,38.3929932,-84.29540109999999,false
 260 Monroe Road,Port Angeles,WA,98362,"",260,Monroe Road,Port Angeles,Clallam County,Washington,United States,98362,48.101035,-123.3869706,false
 124 Maple Avenue East,Mora,MN,55051,"",124,East Maple Avenue,Mora,Kanabec County,Minnesota,United States,55051,45.8778368,-93.29616329999999,true
 999 W. Littleton Blvd.,Littleton,CO,80120,"",999,West Littleton Boulevard,Littleton,Arapahoe County,Colorado,United States,80120,39.6136165,-104.9985529,false
 201 Grandview Drive,Amherst, VA,24521,"",201,Grandview Drive,Amherst,Amherst County,Virginia,United States,24521,37.6017261,-79.0361767,false
 120 Damon Road,Northampton,MA,1060,"",120,Damon Road,Northampton,Hampshire County,Massachusetts,United States,01060,42.339716,-72.632049,true
" 940 29th Avenue Northeast,",Hickory,NC,28601,"",940,29th Avenue Northeast,Hickory,Catawba County,North Carolina,United States,28601,35.7672583,-81.3106947,false
 509 First Ave South,Conover,NC,28613,"",509,1st Avenue South,Conover,Catawba County,North Carolina,United States,28613,35.7019403,-81.22007479999999,false
 1467 Almon Street,Heflin,AL,36264,"",1467,Almon Street,Heflin,Cleburne County,Alabama,United States,36264,33.6303156,-85.59371329999999,false
 700 White Horse Pik,Audubon,NJ,8106,"",700,South White Horse Pike,Audubon,Camden County,New Jersey,United States,08106,39.88788,-75.062546,true
 214 Commercial Street,"Stromsburg,",NE,68666,"",214,Commercial Street,Stromsburg,Polk County,Nebraska,United States,68666,41.1121444,-97.5969626,false
 211 N. Main,"Osceola,",NE,68651,"",211,North Main Street,Osceola,Polk County,Nebraska,United States,68651,41.17905529999999,-97.5468952,true
 424 W. Wentzel Street,Warren,MN,56762,"",424,West Wentzel Street,Warren,Marshall County,Minnesota,United States,56762,48.19313469999999,-96.7766796,false
 1939 Main Street,Castleton,VT,5735,"",1939,Main Street,Castleton,Rutland County,Vermont,United States,05735,43.60727300000001,-73.203186,true
 656 Boston Post,Sudbury,MA,1776,"",656,Boston Post Road,Sudbury,Middlesex County,Massachusetts,United States,01776,42.3610862,-71.4422325,true
 414 N. Elm,Waurika,OK,73573,"",414,North Elm Street,Waurika,Jefferson County,Oklahoma,United States,73573,34.1710424,-97.997305,true
 729 Virginia Ave,Bluefield, VA,24605,"",729,Virginia Avenue,Bluefield,Tazewell County,Virginia,United States,24605,37.2536828,-81.27819579999999,false
 617 E. Jackson Street,Dublin,GA,31021,"",617,East Jackson Street,Dublin,Laurens County,Georgia,United States,31021,32.5423813,-82.89776069999999,false
 400 Main Street,"Humphrey,",NE,68642,"",400,Main Street,Humphrey,Platte County,Nebraska,United States,68642,41.6917797,-97.4857608,false
 118 N. Washington Street,Bicknell,IN,47512,"",118,Washington Street,Bicknell,Knox County,Indiana,United States,47512,38.7733054,-87.3059346,true
 521 Vigo Street,Vincennes,IN,47591,"",521,Vigo Street,Vincennes,Knox County,Indiana,United States,47591,38.676098,-87.53080899999999,false
 6548 Paw Paw Avenue,Coloma,MI,49038,"",6548,Paw Paw Avenue,Coloma,Berrien County,Michigan,United States,49038,42.1925621,-86.2995375,false
 3201 Ave. B,"Scottsbluff,",NE,69361,"",3201,Avenue B,Scottsbluff,Scotts Bluff County,Nebraska,United States,69361,41.8784242,-103.6652901,false
 207 Center Ave,"Morrill,",NE,69358,"",207,Center Avenue,Morrill,Scotts Bluff County,Nebraska,United States,69358,41.9638,-103.926,false
 401 Arapaho,Garber,OK,73738,"",401,Arapaho Street,Garber,Garfield County,Oklahoma,United States,73738,36.4378188,-97.58414979999999,true
 120 W. Main,Billings,OK,74630,"",120,West Main Street,Billings,Noble County,Oklahoma,United States,74630,36.529103,-97.444986,true
 35 Bellevue Avenue,Bristol,CT,6010,"",35,Bellevue Avenue,Bristol,Hartford County,Connecticut,United States,06010,41.6745066,-72.94067749999999,true
 1529 Crowley Rayne Highway,Crowley,LA,70526,"",1529,Crowley Rayne Highway,Rayne,Acadia Parish,Louisiana,United States,70578,30.2270837,-92.2924214,true
 701 S. Broadway Street,Church Point,LA,70525,"",701,South Broadway Street,Church Point,Acadia Parish,Louisiana,United States,70525,30.3967242,-92.21394049999999,false
 900 E Texas Ave,"Rayne,",LA,70578,"",900,East Texas Avenue,Rayne,Acadia Parish,Louisiana,United States,70578,30.2346264,-92.26062309999999,false
 370 Main Street,Nashua,NH,3060,"",370,Main Street,Nashua,Hillsborough County,New Hampshire,United States,03060,42.7460075,-71.45887019999999,true
 50 Ferry Street,Hudson,NH,3051,"",50,Ferry Street,Hudson,Hillsborough County,New Hampshire,United States,03051,42.7668344,-71.4378268,true
 30 Church St,Presque Isle,ME,4769,"",30,Church Street,Presque Isle,Aroostook County,Maine,United States,04769,46.682146,-68.012874,true
 317 N. Main Street,Dunkirk, IN ,47336,"",317,North Main Street,Dunkirk,Jay County,Indiana,United States,47336,40.3766983,-85.2082564,false
 16923 Oak Street,Dillwyn,VA,23936,"",16923,Oak Street,Dillwyn,Buckingham County,Virginia,United States,23936,37.5442655,-78.4607151,false
 540 N. Main Street,Halifax,VA,24558,"",540,North Main Street,Halifax,Halifax County,Virginia,United States,24558,36.7709187,-78.9230287,false
 1113 South Anderson Street,Elwood, IN ,46036,"",1113,South Anderson Street,Elwood,Madison County,Indiana,United States,46036,40.267221,-85.84165899999999,false
 301 West Fairview Avenue,Eddyville,KY,42038,"",301,Fairview Avenue,Eddyville,Lyon County,Kentucky,United States,42038,37.0974226,-88.0746037,true
 201 E. 5th Street,Augusta,KS,67010,"",201,East 5th Avenue,Augusta,Butler County,Kansas,United States,67010,37.6761536,-96.9777118,true
 112 Gethsemane Church Avenue,Drakes Branch,VA,23937,"",112,Gethsemane Church Avenue,Drakes Branch,Charlotte County,Virginia,United States,23937,37.0035932,-78.60638019999999,true
 25 Bellevue Avenue,Bristol,CT,6010,"",25,Bellevue Avenue,Bristol,Hartford County,Connecticut,United States,06010,41.6742806,-72.9407791,true
 11 Hill Avenue,Ashland,NH,3217,"",11,Hill Avenue,Ashland,Grafton County,New Hampshire,United States,03217,43.6937753,-71.6318507,true
 206 E. Pine Street,Swainsboro,GA,30401,"",206,East Pine Street,Swainsboro,Emanuel County,Georgia,United States,30401,32.5997668,-82.3318701,false
 119 N. Main Street,Fair Haven,VT,5743,"",119,North Main Street,Fair Haven,Rutland County,Vermont,United States,05743,43.5953864,-73.2648571,true
 57 Frost Avenue,Frostburg,MD,21532,"",57,Frost Avenue,Frostburg,Allegany County,Maryland,United States,21532,39.6575058,-78.9327223,false
 440 W. Chicago,Coldwater,MI,49036,"",440,West Chicago Road,Coldwater,Branch County,Michigan,United States,49036,41.8989149,-85.1244766,true
 321 E. Chicago,Bronson,MI,49028,"",321,East Chicago Street,Bronson,Branch County,Michigan,United States,49028,41.8732683,-85.1913223,true
 9456 N.W. Roy Rd,Forest Grove,OR,97116,"",9456,Northwest Roy Road,Forest Grove,Washington County,Oregon,United States,97116,45.5888001,-123.0818551,false
 650 West Waterloo Street,Canal Winchester,OH,43110,"",650,West Waterloo Street,Canal Winchester,Franklin County,Ohio,United States,43110,39.8560779,-82.82338,false
 155 Hickory Street,Hyden,KY,41749,"",155,Hickory Street,Hyden,Leslie County,Kentucky,United States,41749,37.1648815,-83.37910839999999,false
 776 North,Pittsfield,MA,1201,"",776,North Street,Pittsfield,Berkshire County,Massachusetts,United States,01201,42.4602494,-73.2472299,true
 798 S. Willow Ave,Cookeville,TN,38501,"",798,South Willow Avenue,Cookeville,Putnam County,Tennessee,United States,38501,36.14608339999999,-85.5212254,false
 420 Hwy. 51 By-Pass North,Dyersburg,TN,38024,"",420,U.S. 51 Bypass,Dyersburg,Dyer County,Tennessee,United States,38024,36.0393202,-89.4103368,true
 515 Headden Drive,Ridgely,TN,38080,"",515,Headden Drive,Ridgely,Lake County,Tennessee,United States,38080,36.2690576,-89.4780744,false
 405 Church Street,Tiptonville,TN,38079,"",405,Church Street,Tiptonville,Lake County,Tennessee,United States,38079,36.37782,-89.482202,false
 2305 North Campbell Street,Valparaiso,IN,46383,"",2305,Campbell Street,Valparaiso,Porter County,Indiana,United States,46383,41.4891432,-87.0659763,true
 29 E. Ninth Street,Holland,MI,49423,"",29,East 9th Street,Holland,Ottawa County,Michigan,United States,49423,42.78967979999999,-86.10588969999999,false
 188 W. 32nd,Holland,MI,49423,"",188,32nd Street,Holland,Allegan County,Michigan,United States,49423,42.7682407,-86.1156731,true
 520 Lake,Saugatuck,MI,49453,"",520,Lake Street,Saugatuck,Allegan County,Michigan,United States,49453,42.65420779999999,-86.1996188,true
 295 Douglas Ave,Holland,MI,49423,"",295,Douglas Avenue,Holland,Ottawa County,Michigan,United States,49424,42.799286,-86.121157,true
 24 E. 19th Street,Bayonne,NJ,7002,"",24,East 19th Street,Bayonne,Hudson County,New Jersey,United States,07002,40.6606203,-74.1194308,true
 2033 Boulevard,Colonial Heights,VA,23834,"",2033,Boulevard,Colonial Heights,"",Virginia,United States,23834,37.2596283,-77.4109407,false
 3935 S. Crater Rd,Petersburg,VA,23805,"",3935,South Crater Road,Petersburg,"",Virginia,United States,23805,37.1720869,-77.3591509,false
 706 Griffin Blvd,Farmville,VA ,23901,"",706,Griffin Boulevard,Farmville,Prince Edward County,Virginia,United States,23901,37.2939678,-78.3982791,false
 204 Main Street,Malden,MA,2148,"",204,Main Street,Malden,Middlesex County,Massachusetts,United States,02148,42.421876,-71.0676028,true
 2615 State Blvd.,Meridian,MS,39307,"",2615,State Boulevard,Meridian,Lauderdale County,Mississippi,United States,39307,32.385007,-88.72897499999999,false
 Depot Hill St,Dekalb,MS,39328,"","",Depot Hill Street,De Kalb,Kemper County,Mississippi,United States,39328,32.7705292,-88.6414485,true
 60015 Monroe,Smithville,MS,38870,"",60015,Monroe Street,Smithville,Monroe County,Mississippi,United States,38870,34.0718856,-88.3956474,true
 500 3rd,Amory,MS,38821,"",500,3rd Avenue South,Amory,Monroe County,Mississippi,United States,38821,33.9847348,-88.4837259,true
 210 North Academy Street,Lincolnton,NC,28092,"",210,North Academy Street,Lincolnton,Lincoln County,North Carolina,United States,28092,35.4730815,-81.2557501,false
 740 State Road 930 E,New Haven,IN,46774,"",740,Highway 930,New Haven,Allen County,Indiana,United States,46774,41.0666709,-85.01920229999999,true
 2260 W. 21st Avenue,Covington,LA,70433,"",2260,West 21st Avenue,Covington,St. Tammany Parish,Louisiana,United States,70433,30.4889441,-90.123215,false
 3801 18 Mile Road,Sterling Heights,MI,48314,"",3801,18 Mile Road,Sterling Heights,Macomb County,Michigan,United States,48314,42.5940925,-83.07192119999999,false
 120 West Maple Street,Jeffersonville, IN ,47130,"",120,West Maple Street,Jeffersonville,Clark County,Indiana,United States,47130,38.27287219999999,-85.74229199999999,false
